Task 0:
    Duration: 144719 cycles
  Chunk 3 (Medium):
    Start: 69530628277 cycles
    End: 69530753774 cycles
    Duration: 125497 cycles
Task 15:
  Chunk 0 (Big):
    Start: 69528146354 cycles
    End: 69528239959 cycles
    Duration: 93605 cycles
  Chunk 1 (GPU):
    Start: 69530483525 cycles
    End: 69530663897 cycles
    Duration: 180372 cycles
  Chunk 2 (Little):
    Start: 69530663928 cycles
    End: 69530810629 cycles
    Duration: 146701 cycles
  Chunk 3 (Medium):
    Start: 69530810638 cycles
    End: 69530935535 cycles
    Duration: 124897 cycles
Task 16:
  Chunk 0 (Big):
    Start: 69528239960 cycles
    End: 69528334423 cycles
    Duration: 94463 cycles
  Chunk 1 (GPU):
    Start: 69530663898 cycles
    End: 69530844747 cycles
    Duration: 180849 cycles
  Chunk 2 (Little):
    Start: 69530844766 cycles
    End: 69530989417 cycles
    Duration: 144651 cycles
  Chunk 3 (Medium):
    Start: 69530989435 cycles
    End: 69531114286 cycles
    Duration: 124851 cycles
Task 17:
  Chunk 0 (Big):
    Start: 69528334424 cycles
    End: 69528433018 cycles
    Duration: 98594 cycles
  Chunk 1 (GPU):
    Start: 69530844763 cycles
    End: 69531026389 cycles
    Duration: 181626 cycles
  Chunk 2 (Little):
    Start: 69531026431 cycles
    End: 69531171269 cycles
    Duration: 144838 cycles
  Chunk 3 (Medium):
    Start: 69531171287 cycles
    End: 69531296177 cycles
    Duration: 124890 cycles
Task 18:
  Chunk 0 (Big):
    Start: 69528433018 cycles
    End: 69528533222 cycles
    Duration: 100204 cycles
  Chunk 1 (GPU):
    Start: 69531026411 cycles
    End: 69531207520 cycles
    Duration: 181109 cycles
  Chunk 2 (Little):
    Start: 69531207569 cycles
    End: 69531354659 cycles
    Duration: 147090 cycles
  Chunk 3 (Medium):
    Start: 69531354675 cycles
    End: 69531480626 cycles
    Duration: 125951 cycles
Task 19:
  Chunk 0 (Big):
    Start: 69528533223 cycles
    End: 69528634280 cycles
    Duration: 101057 cycles
  Chunk 1 (GPU):
    Start: 69531207532 cycles
    End: 69531387190 cycles
    Duration: 179658 cycles
  Chunk 2 (Little):
    Start: 69531387242 cycles
    End: 69531555938 cycles
    Duration: 168696 cycles
  Chunk 3 (Medium):
    Start: 69531555951 cycles
    End: 69531681866 cycles
    Duration: 125915 cycles
Task 20:
  Chunk 0 (Big):
    Start: 69528634281 cycles
    End: 69528733139 cycles
    Duration: 98858 cycles
  Chunk 1 (GPU):
    Start: 69531387191 cycles
    End: 69531567421 cycles
    Duration: 180230 cycles
  Chunk 2 (Little):
    Start: 69531567442 cycles
    End: 69531717964 cycles
    Duration: 150522 cycles
  Chunk 3 (Medium):
    Start: 69531718562 cycles
    End: 69531844587 cycles
    Duration: 126025 cycles
Task 21:
  Chunk 0 (Big):
    Start: 69528733140 cycles
    End: 69528834256 cycles
    Duration: 101116 cycles
  Chunk 1 (GPU):
    Start: 69531567422 cycles
    End: 69531747078 cycles
    Duration: 179656 cycles
  Chunk 2 (Little):
    Start: 69531749341 cycles
    End: 69531889749 cycles
    Duration: 140408 cycles
  Chunk 3 (Medium):
    Start: 69531889774 cycles
    End: 69532017382 cycles
    Duration: 127608 cycles
Task 22:
  Chunk 0 (Big):
    Start: 69528834257 cycles
    End: 69528939738 cycles
    Duration: 105481 cycles
  Chunk 1 (GPU):
    Start: 69531747091 cycles
    End: 69531926108 cycles
    Duration: 179017 cycles
  Chunk 2 (Little):
    Start: 69531926144 cycles
    End: 69532070050 cycles
    Duration: 143906 cycles
  Chunk 3 (Medium):
    Start: 69532070064 cycles
    End: 69532197796 cycles
    Duration: 127732 cycles
Task 23:
  Chunk 0 (Big):
    Start: 69528939740 cycles
    End: 69529043461 cycles
    Duration: 103721 cycles
  Chunk 1 (GPU):
    Start: 69531926110 cycles
    End: 69532103460 cycles
    Duration: 177350 cycles
  Chunk 2 (Little):
    Start: 69532107349 cycles
    End: 69532256216 cycles
    Duration: 148867 cycles
  Chunk 3 (Medium):
    Start: 69532256238 cycles
    End: 69532383139 cycles
    Duration: 126901 cycles
Task 24:
  Chunk 0 (Big):
    Start: 69529043462 cycles
    End: 69529145817 cycles
    Duration: 102355 cycles
  Chunk 1 (GPU):
    Start: 69532103474 cycles
    End: 69532283682 cycles
    Duration: 180208 cycles
  Chunk 2 (Little):
    Start: 69532283698 cycles
    End: 69532435937 cycles
    Duration: 152239 cycles
  Chunk 3 (Medium):
    Start: 69532435951 cycles
    End: 69532560720 cycles
    Duration: 124769 cycles
Task 25:
  Chunk 0 (Big):
    Start: 69529145817 cycles
    End: 69529246272 cycles
    Duration: 100455 cycles
  Chunk 1 (GPU):
    Start: 69532283682 cycles
    End: 69532463860 cycles
    Duration: 180178 cycles
  Chunk 2 (Little):
    Start: 69532465753 cycles
    End: 69532618862 cycles
    Duration: 153109 cycles
  Chunk 3 (Medium):
    Start: 69532618884 cycles
    End: 69532742855 cycles
    Duration: 123971 cycles
Task 26:
  Chunk 0 (Big):
    Start: 69529246272 cycles
    End: 69529347771 cycles
    Duration: 101499 cycles
  Chunk 1 (GPU):
    Start: 69532463873 cycles
    End: 69532644651 cycles
    Duration: 180778 cycles
  Chunk 2 (Little):
    Start: 69532647089 cycles
    End: 69532803694 cycles
    Duration: 156605 cycles
  Chunk 3 (Medium):
    Start: 69532803720 cycles
    End: 69532929876 cycles
    Duration: 126156 cycles
Task 27:
  Chunk 0 (Big):
    Start: 69529347771 cycles
    End: 69529451181 cycles
    Duration: 103410 cycles
  Chunk 1 (GPU):
    Start: 69532644661 cycles
    End: 69532826390 cycles
    Duration: 181729 cycles
  Chunk 2 (Little):
    Start: 69532826440 cycles
    End: 69532968601 cycles
    Duration: 142161 cycles
  Chunk 3 (Medium):
    Start: 69532968621 cycles
    End: 69533093881 cycles
    Duration: 125260 cycles
Task 28:
  Chunk 0 (Big):
    Start: 69529451182 cycles
    End: 69529553218 cycles
    Duration: 102036 cycles
  Chunk 1 (GPU):
    Start: 69532826391 cycles
    End: 69533004558 cycles
    Duration: 178167 cycles
  Chunk 2 (Little):
    Start: 69533004587 cycles
    End: 69533154642 cycles
    Duration: 150055 cycles
  Chunk 3 (Medium):
    Start: 69533155132 cycles
    End: 69533278855 cycles
    Duration: 123723 cycles
Task 29:
  Chunk 0 (Big):
    Start: 69529553219 cycles
    End: 69529655806 cycles
    Duration: 102587 cycles
  Chunk 1 (GPU):
    Start: 69533004569 cycles
    End: 69533182971 cycles
    Duration: 178402 cycles
  Chunk 2 (Little):
    Start: 69533183190 cycles
    End: 69533326049 cycles
    Duration: 142859 cycles
  Chunk 3 (Medium):
    Start: 69533326077 cycles
    End: 69533451125 cycles
    Duration: 125048 cycles
Task 30:
  Chunk 0 (Big):
    Start: 69529655806 cycles
    End: 69529757790 cycles
    Duration: 101984 cycles
  Chunk 1 (GPU):
    Start: 69533182971 cycles
    End: 69533359517 cycles
    Duration: 176546 cycles
  Chunk 2 (Little):
    Start: 69533359551 cycles
    End: 69533502456 cycles
    Duration: 142905 cycles
  Chunk 3 (Medium):
    Start: 69533502477 cycles
    End: 69533626688 cycles
    Duration: 124211 cycles
Task 31:
  Chunk 0 (Big):
    Start: 69529757790 cycles
    End: 69529859119 cycles
    Duration: 101329 cycles
  Chunk 1 (GPU):
    Start: 69533359527 cycles
    End: 69533539928 cycles
    Duration: 180401 cycles
  Chunk 2 (Little):
    Start: 69533542059 cycles
    End: 69533702510 cycles
    Duration: 160451 cycles
  Chunk 3 (Medium):
    Start: 69533702518 cycles
    End: 69533827129 cycles
    Duration: 124611 cycles
Task 32:
  Chunk 0 (Big):
    Start: 69529859120 cycles
    End: 69529960076 cycles
    Duration: 100956 cycles
  Chunk 1 (GPU):
    Start: 69533539940 cycles
    End: 69533721252 cycles
    Duration: 181312 cycles
  Chunk 2 (Little):
    Start: 69533723434 cycles
    End: 69533866947 cycles
    Duration: 143513 cycles
  Chunk 3 (Medium):
    Start: 69533866960 cycles
    End: 69533996150 cycles
    Duration: 129190 cycles
Task 33:
  Chunk 0 (Big):
    Start: 69529960079 cycles
    End: 69530061543 cycles
    Duration: 101464 cycles
  Chunk 1 (GPU):
    Start: 69533721266 cycles
    End: 69533910021 cycles
    Duration: 188755 cycles
  Chunk 2 (Little):
    Start: 69533920275 cycles
    End: 69534074062 cycles
    Duration: 153787 cycles
  Chunk 3 (Medium):
    Start: 69534074085 cycles
    End: 69534199058 cycles
    Duration: 124973 cycles
Task 34:
  Chunk 0 (Big):
    Start: 69530061544 cycles
    End: 69530164427 cycles
    Duration: 102883 cycles
  Chunk 1 (GPU):
    Start: 69533916933 cycles
    End: 69534098975 cycles
    Duration: 182042 cycles
  Chunk 2 (Little):
    Start: 69534099010 cycles
    End: 69534241290 cycles
    Duration: 142280 cycles
  Chunk 3 (Medium):
    Start: 69534241309 cycles
    End: 69534365200 cycles
    Duration: 123891 cycles
Task 35:
  Chunk 0 (Big):
    Start: 69530164428 cycles
    End: 69530265648 cycles
    Duration: 101220 cycles
  Chunk 1 (GPU):
    Start: 69534098997 cycles
    End: 69534282178 cycles
    Duration: 183181 cycles
  Chunk 2 (Little):
    Start: 69534282453 cycles
    End: 69534424765 cycles
    Duration: 142312 cycles
  Chunk 3 (Medium):
    Start: 69534424778 cycles
    End: 69534553105 cycles
    Duration: 128327 cycles
Task 36:
  Chunk 0 (Big):
    Start: 69530265648 cycles
    End: 69530368949 cycles
    Duration: 103301 cycles
  Chunk 1 (GPU):
    Start: 69534282200 cycles
    End: 69534467406 cycles
    Duration: 185206 cycles
  Chunk 2 (Little):
    Start: 69534467685 cycles
    End: 69534611251 cycles
    Duration: 143566 cycles
  Chunk 3 (Medium):
    Start: 69534611259 cycles
    End: 69534741726 cycles
    Duration: 130467 cycles
Task 37:
  Chunk 0 (Big):
    Start: 69530368949 cycles
    End: 69530467317 cycles
    Duration: 98368 cycles
  Chunk 1 (GPU):
    Start: 69534467422 cycles
    End: 69534652110 cycles
    Duration: 184688 cycles
  Chunk 2 (Little):
    Start: 69534652129 cycles
    End: 69534800080 cycles
    Duration: 147951 cycles
  Chunk 3 (Medium):
    Start: 69534800096 cycles
    End: 69534924200 cycles
    Duration: 124104 cycles
Task 38:
  Chunk 0 (Big):
    Start: 69530467317 cycles
    End: 69530567793 cycles
    Duration: 100476 cycles
  Chunk 1 (GPU):
    Start: 69534652122 cycles
    End: 69534836243 cycles
    Duration: 184121 cycles
  Chunk 2 (Little):
    Start: 69534836275 cycles
    End: 69534980996 cycles
    Duration: 144721 cycles
  Chunk 3 (Medium):
    Start: 69534981012 cycles
    End: 69535105883 cycles
    Duration: 124871 cycles
Task 39:
  Chunk 0 (Big):
    Start: 69530567794 cycles
    End: 69530668304 cycles
    Duration: 100510 cycles
  Chunk 1 (GPU):
    Start: 69534836254 cycles
    End: 69535019047 cycles
    Duration: 182793 cycles
  Chunk 2 (Little):
    Start: 69535021029 cycles
    End: 69535179063 cycles
    Duration: 158034 cycles
  Chunk 3 (Medium):
    Start: 69535179081 cycles
    End: 69535303257 cycles
    Duration: 124176 cycles
Task 40:
  Chunk 0 (Big):
    Start: 69530668305 cycles
    End: 69530766836 cycles
    Duration: 98531 cycles
  Chunk 1 (GPU):
    Start: 69535019060 cycles
    End: 69535201245 cycles
    Duration: 182185 cycles
  Chunk 2 (Little):
    Start: 69535203380 cycles
    End: 69535345938 cycles
    Duration: 142558 cycles
  Chunk 3 (Medium):
    Start: 69535345965 cycles
    End: 69535471310 cycles
    Duration: 125345 cycles
Task 41:
  Chunk 0 (Big):
    Start: 69530766836 cycles
    End: 69530865383 cycles
    Duration: 98547 cycles
  Chunk 1 (GPU):
    Start: 69535201262 cycles
    End: 69535382287 cycles
    Duration: 181025 cycles
  Chunk 2 (Little):
    Start: 69535382333 cycles
    End: 69535525492 cycles
    Duration: 143159 cycles
  Chunk 3 (Medium):
    Start: 69535525504 cycles
    End: 69535653844 cycles
    Duration: 128340 cycles
Task 42:
  Chunk 0 (Big):
    Start: 69530865384 cycles
    End: 69530965649 cycles
    Duration: 100265 cycles
  Chunk 1 (GPU):
    Start: 69535382319 cycles
    End: 69535563210 cycles
    Duration: 180891 cycles
  Chunk 2 (Little):
    Start: 69535563245 cycles
    End: 69535707989 cycles
    Duration: 144744 cycles
  Chunk 3 (Medium):
    Start: 69535708007 cycles
    End: 69535832189 cycles
    Duration: 124182 cycles
Task 43:
  Chunk 0 (Big):
    Start: 69530965652 cycles
    End: 69531065519 cycles
    Duration: 99867 cycles
  Chunk 1 (GPU):
    Start: 69535563220 cycles
    End: 69535744251 cycles
    Duration: 181031 cycles
  Chunk 2 (Little):
    Start: 69535744432 cycles
    End: 69535890271 cycles
    Duration: 145839 cycles
  Chunk 3 (Medium):
    Start: 69535890297 cycles
    End: 69536014711 cycles
    Duration: 124414 cycles
Task 44:
  Chunk 0 (Big):
    Start: 69531065522 cycles
    End: 69531164433 cycles
    Duration: 98911 cycles
  Chunk 1 (GPU):
    Start: 69535744256 cycles
    End: 69535926241 cycles
    Duration: 181985 cycles
  Chunk 2 (Little):
    Start: 69535928282 cycles
    End: 69536072282 cycles
    Duration: 144000 cycles
  Chunk 3 (Medium):
    Start: 69536072291 cycles
    End: 69536199111 cycles
    Duration: 126820 cycles
Task 45:
  Chunk 0 (Big):
    Start: 69531164433 cycles
    End: 69531265361 cycles
    Duration: 100928 cycles
  Chunk 1 (GPU):
    Start: 69535926249 cycles
    End: 69536105970 cycles
    Duration: 179721 cycles
  Chunk 2 (Little):
    Start: 69536105980 cycles
    End: 69536250596 cycles
    Duration: 144616 cycles
  Chunk 3 (Medium):
    Start: 69536250617 cycles
    End: 69536376086 cycles
    Duration: 125469 cycles
Task 46:
  Chunk 0 (Big):
    Start: 69531265362 cycles
    End: 69531363767 cycles
    Duration: 98405 cycles
  Chunk 1 (GPU):
    Start: 69536105979 cycles
    End: 69536287261 cycles
    Duration: 181282 cycles
  Chunk 2 (Little):
    Start: 69536289728 cycles
    End: 69536447753 cycles
    Duration: 158025 cycles
  Chunk 3 (Medium):
    Start: 69536447768 cycles
    End: 69536573889 cycles
    Duration: 126121 cycles
Task 47:
  Chunk 0 (Big):
    Start: 69531363768 cycles
    End: 69531463287 cycles
    Duration: 99519 cycles
  Chunk 1 (GPU):
    Start: 69536287272 cycles
    End: 69536469279 cycles
    Duration: 182007 cycles
  Chunk 2 (Little):
    Start: 69536469293 cycles
    End: 69536619388 cycles
    Duration: 150095 cycles
  Chunk 3 (Medium):
    Start: 69536619406 cycles
    End: 69536747537 cycles
    Duration: 128131 cycles
Task 48:
  Chunk 0 (Big):
    Start: 69531463294 cycles
    End: 69531563279 cycles
    Duration: 99985 cycles
  Chunk 1 (GPU):
    Start: 69536469287 cycles
    End: 69536651427 cycles
    Duration: 182140 cycles
  Chunk 2 (Little):
    Start: 69536651458 cycles
    End: 69536793534 cycles
    Duration: 142076 cycles
  Chunk 3 (Medium):
    Start: 69536793548 cycles
    End: 69536920939 cycles
    Duration: 127391 cycles
Task 49:
  Chunk 0 (Big):
    Start: 69531563280 cycles
    End: 69531663490 cycles
    Duration: 100210 cycles
  Chunk 1 (GPU):
    Start: 69536651427 cycles
    End: 69536831419 cycles
    Duration: 179992 cycles
  Chunk 2 (Little):
    Start: 69536831548 cycles
    End: 69536991533 cycles
    Duration: 159985 cycles
  Chunk 3 (Medium):
    Start: 69536991565 cycles
    End: 69537118971 cycles
    Duration: 127406 cycles
Task 50:
  Chunk 0 (Big):
    Start: 69531681877 cycles
    End: 69531781510 cycles
    Duration: 99633 cycles
  Chunk 1 (GPU):
    Start: 69536831419 cycles
    End: 69537010068 cycles
    Duration: 178649 cycles
  Chunk 2 (Little):
    Start: 69537010706 cycles
    End: 69537153549 cycles
    Duration: 142843 cycles
  Chunk 3 (Medium):
    Start: 69537153558 cycles
    End: 69537278883 cycles
    Duration: 125325 cycles
Task 51:
  Chunk 0 (Big):
    Start: 69531844593 cycles
    End: 69531944672 cycles
    Duration: 100079 cycles
  Chunk 1 (GPU):
    Start: 69537010073 cycles
    End: 69537187203 cycles
    Duration: 177130 cycles
  Chunk 2 (Little):
    Start: 69537187235 cycles
    End: 69537336657 cycles
    Duration: 149422 cycles
  Chunk 3 (Medium):
    Start: 69537336676 cycles
    End: 69537461744 cycles
    Duration: 125068 cycles
Task 52:
  Chunk 0 (Big):
    Start: 69532017393 cycles
    End: 69532116071 cycles
    Duration: 98678 cycles
  Chunk 1 (GPU):
    Start: 69537187203 cycles
    End: 69537364307 cycles
    Duration: 177104 cycles
  Chunk 2 (Little):
    Start: 69537366429 cycles
    End: 69537509181 cycles
    Duration: 142752 cycles
  Chunk 3 (Medium):
    Start: 69537509192 cycles
    End: 69537635268 cycles
    Duration: 126076 cycles
Task 53:
  Chunk 0 (Big):
    Start: 69532197806 cycles
    End: 69532305058 cycles
    Duration: 107252 cycles
  Chunk 1 (GPU):
    Start: 69537364316 cycles
    End: 69537542733 cycles
    Duration: 178417 cycles
  Chunk 2 (Little):
    Start: 69537542773 cycles
    End: 69537701117 cycles
    Duration: 158344 cycles
  Chunk 3 (Medium):
    Start: 69537701132 cycles
    End: 69537829101 cycles
    Duration: 127969 cycles
Task 54:
  Chunk 0 (Big):
    Start: 69532383152 cycles
    End: 69532487842 cycles
    Duration: 104690 cycles
  Chunk 1 (GPU):
    Start: 69537542758 cycles
    End: 69537721765 cycles
    Duration: 179007 cycles
  Chunk 2 (Little):
    Start: 69537721806 cycles
    End: 69537865645 cycles
    Duration: 143839 cycles
  Chunk 3 (Medium):
    Start: 69537865654 cycles
    End: 69537992341 cycles
    Duration: 126687 cycles
Task 55:
  Chunk 0 (Big):
    Start: 69532560734 cycles
    End: 69532664409 cycles
    Duration: 103675 cycles
  Chunk 1 (GPU):
    Start: 69537721781 cycles
    End: 69537902497 cycles
    Duration: 180716 cycles
  Chunk 2 (Little):
    Start: 69537902526 cycles
    End: 69538042389 cycles
    Duration: 139863 cycles
  Chunk 3 (Medium):
    Start: 69538042414 cycles
    End: 69538168673 cycles
    Duration: 126259 cycles
Task 56:
  Chunk 0 (Big):
    Start: 69532742872 cycles
    End: 69532846214 cycles
    Duration: 103342 cycles
  Chunk 1 (GPU):
    Start: 69537902509 cycles
    End: 69538081575 cycles
    Duration: 179066 cycles
  Chunk 2 (Little):
    Start: 69538081596 cycles
    End: 69538223249 cycles
    Duration: 141653 cycles
  Chunk 3 (Medium):
    Start: 69538223263 cycles
    End: 69538353240 cycles
    Duration: 129977 cycles
Task 57:
  Chunk 0 (Big):
    Start: 69532929888 cycles
    End: 69533033328 cycles
    Duration: 103440 cycles
  Chunk 1 (GPU):
    Start: 69538081592 cycles
    End: 69538259641 cycles
    Duration: 178049 cycles
  Chunk 2 (Little):
    Start: 69538259673 cycles
    End: 69538403328 cycles
    Duration: 143655 cycles
  Chunk 3 (Medium):
    Start: 69538403350 cycles
    End: 69538528565 cycles
    Duration: 125215 cycles
Task 58:
  Chunk 0 (Big):
    Start: 69533093893 cycles
    End: 69533199102 cycles
    Duration: 105209 cycles
  Chunk 1 (GPU):
    Start: 69538259657 cycles
    End: 69538436996 cycles
    Duration: 177339 cycles
  Chunk 2 (Little):
    Start: 69538437037 cycles
    End: 69538586667 cycles
    Duration: 149630 cycles
  Chunk 3 (Medium):
    Start: 69538586682 cycles
    End: 69538714216 cycles
    Duration: 127534 cycles
Task 59:
  Chunk 0 (Big):
    Start: 69533278866 cycles
    End: 69533383759 cycles
    Duration: 104893 cycles
  Chunk 1 (GPU):
    Start: 69538437006 cycles
    End: 69538612701 cycles
    Duration: 175695 cycles
  Chunk 2 (Little):
    Start: 69538612721 cycles
    End: 69538755636 cycles
    Duration: 142915 cycles
  Chunk 3 (Medium):
    Start: 69538755645 cycles
    End: 69538880077 cycles
    Duration: 124432 cycles
Task 60:
  Chunk 0 (Big):
    Start: 69533451135 cycles
    End: 69533555614 cycles
    Duration: 104479 cycles
  Chunk 1 (GPU):
    Start: 69538612709 cycles
    End: 69538791863 cycles
    Duration: 179154 cycles
  Chunk 2 (Little):
    Start: 69538791888 cycles
    End: 69538955442 cycles
    Duration: 163554 cycles
  Chunk 3 (Medium):
    Start: 69538955463 cycles
    End: 69539080357 cycles
    Duration: 124894 cycles
Task 61:
  Chunk 0 (Big):
    Start: 69533626697 cycles
    End: 69533731132 cycles
    Duration: 104435 cycles
  Chunk 1 (GPU):
    Start: 69538791879 cycles
    End: 69538972622 cycles
    Duration: 180743 cycles
  Chunk 2 (Little):
    Start: 69538972789 cycles
    End: 69539112821 cycles
    Duration: 140032 cycles
  Chunk 3 (Medium):
    Start: 69539112843 cycles
    End: 69539238616 cycles
    Duration: 125773 cycles
Task 62:
  Chunk 0 (Big):
    Start: 69533827139 cycles
    End: 69533932074 cycles
    Duration: 104935 cycles
  Chunk 1 (GPU):
    Start: 69538972634 cycles
    End: 69539148500 cycles
    Duration: 175866 cycles
  Chunk 2 (Little):
    Start: 69539148529 cycles
    End: 69539298902 cycles
    Duration: 150373 cycles
  Chunk 3 (Medium):
    Start: 69539298921 cycles
    End: 69539425724 cycles
    Duration: 126803 cycles
Task 63:
  Chunk 0 (Big):
    Start: 69533996168 cycles
    End: 69534099948 cycles
    Duration: 103780 cycles
  Chunk 1 (GPU):
    Start: 69539148512 cycles
    End: 69539327180 cycles
    Duration: 178668 cycles
  Chunk 2 (Little):
